ticker,company_name,industry,fiscal_year,fiscal_quarter,form_type,filing_date,period_end_date,revenue_millions,cost_of_revenue_millions,gross_profit_millions,operating_income_millions,net_income_millions,eps_basic,eps_diluted,total_assets_millions,current_assets_millions,total_liabilities_millions,current_liabilities_millions,stockholders_equity_millions,operating_cash_flow_millions,investing_cash_flow_millions,financing_cash_flow_millions,net_margin_percent,operating_margin_percent,current_ratio,debt_to_assets_percent
AAPL,Apple Inc.,,2017,,10-Q,2017-02-01,2015-12-26,75872.0,,,24171.0,18361.0,3.3,3.28,,,,,,,,,24.2,31.86,,
AAPL,Apple Inc.,,2016,,10-K,2016-10-26,2016-06-25,42358.0,,,,7796.0,1.43,1.42,,,,,,,,,18.41,,,
AAPL,Apple Inc.,,2016,,10-K,2016-10-26,2015-06-27,49605.0,,,,10677.0,1.86,1.85,,,,,,,,,21.52,,,
AAPL,Apple Inc.,,2016,,10-K,2016-10-26,2014-09-27,182795.0,,,52503.0,39510.0,6.49,6.45,,,,,111547.0,,,,21.61,28.72,,
AAPL,Apple Inc.,,2016,,10-K,2016-10-26,2015-12-26,75872.0,,,,18361.0,3.3,3.28,,,,,,,,,24.2,,,
AAPL,Apple Inc.,,2016,,10-Q,2016-04-27,2015-03-28,132609.0,,,42524.0,31593.0,5.43,5.39,,,,,,,,,23.82,32.07,,
AAPL,Apple Inc.,,2016,,10-Q,2016-01-27,2014-12-27,74599.0,,,24246.0,18024.0,3.08,3.06,,,,,,,,,24.16,32.5,,
AAPL,Apple Inc.,,2015,,10-K,2015-10-28,2015-03-28,58010.0,,,,13569.0,2.34,2.33,,,,,,,,,23.39,,,
AAPL,Apple Inc.,,2015,,10-K,2015-10-28,2014-12-27,74599.0,,,,18024.0,3.08,3.06,,,,,,,,,24.16,,,
AAPL,Apple Inc.,,2015,,10-K,2015-10-28,2014-03-29,45646.0,,,,10223.0,1.67,1.66,,,,,,,,,22.4,,,
AAPL,Apple Inc.,,2015,,10-K,2015-10-28,2013-12-28,57594.0,,,,13072.0,2.08,2.07,,,,,,,,,22.7,,,
AAPL,Apple Inc.,,2015,,10-K,2015-10-28,2014-06-28,37432.0,,,,7748.0,1.29,1.28,,,,,,,,,20.7,,,
AAPL,Apple Inc.,,2015,,10-Q,2015-07-22,2015-06-27,182214.0,,,56607.0,42270.0,7.3,7.25,273151.0,70953.0,147474.0,65285.0,125677.0,,,,23.2,31.07,1.09,53.99
AAPL,Apple Inc.,,2015,,10-Q,2015-07-22,2014-06-28,140672.0,,,41338.0,31043.0,5.06,5.03,,,,,,,,,22.07,29.39,,
AAPL,Apple Inc.,,2014,,10-Q,2014-04-24,2014-03-29,103240.0,,,31056.0,23295.0,26.31,26.16,205989.0,70541.0,85810.0,43208.0,120179.0,,,,22.56,30.08,1.63,41.66
AAPL,Apple Inc.,,2014,,10-Q,2014-07-23,2013-06-29,133438.0,,,38969.0,29525.0,4.52,4.49,,,,,,,,,22.13,29.2,,
AAPL,Apple Inc.,,2014,,10-Q,2014-01-28,2013-12-28,57594.0,,,17463.0,13072.0,14.59,14.5,225184.0,80347.0,95500.0,53769.0,129684.0,22670.0,,,22.7,30.32,1.49,42.41
AAPL,Apple Inc.,,2014,,10-Q,2014-04-24,2013-03-30,98115.0,,,29768.0,22625.0,24.09,23.9,,,,,,,,,23.06,30.34,,
AAPL,Apple Inc.,,2013,,10-K,2013-10-30,2012-12-29,54512.0,,,,13078.0,13.93,13.81,,,,,,,,,23.99,,,
AAPL,Apple Inc.,,2013,,10-K,2013-10-30,2013-03-30,43603.0,,,,9547.0,10.16,10.09,,,,,,,,,21.9,,,
AAPL,Apple Inc.,,2013,,10-K,2013-10-30,2013-06-29,35323.0,,,,6900.0,7.51,7.47,,,,,,,,,19.53,,,
